,Song,Artist,Genre,Lyrics
0,7 Summers,Morgan Wallen,Country,"Yeah, you used to talk about Getting even further South Somewhere where the summer lasted all year 'round Probably got a big ol' diamond on your hand right now Maybe a baby or a couple by now Long driveway to a big white house  But I wonder when you're drinking if you Find yourself thinking about That boy from East Tennessee And I know we both knew better But we still said forever And that was seven summers Of Coke and Southern Comfort Were we dumb or just younger, who knows? Back then, you used to love the river And sippin' on a sixer with me Does it ever make you sad to know That was seven summers ago?  Ooh, ooh-ooh, ooh-ooh  Yeah, I bet your daddy's so proud Of how his little girl turned out Think she dodged a bullet Of a good old boy like me 'Cause I still Go drinkin', same friends on Friday Bought a few acres, couple roads off the highway Guess you never saw things my way anyway But I wonder when you're drinking if you Find yourself thinking about That boy from East Tennessee And I know we both knew better But we still said forever And that was seven summers Of Coke and Southern Comfort Were we dumb or just younger, who knows? Back then, you used to love the river And sippin' on a sixer with me Does it ever make you sad to know That was seven summers ago?  Ooh Seven summers ago (Ooh-ooh, ooh-ooh) Seven summers ago (Ooh, ooh-ooh, ooh-ooh)  Yeah, I wonder when you're drinking if you Find yourself thinking about That boy from East Tennessee And I know we both knew better But we still said forever And that was seven summers Of Coke and Southern Comfort Were we dumb or just younger, who knows? Back then, you used to love the river And sippin' on a sixer with me Does it ever make you sad to know That was seven summers ago? Ooh Seven summers ago (Ooh-ooh, ooh-ooh) Seven summers ago (Ooh, ooh-ooh)9EmbedShare URLCopyEmbedCopy"
1,Somebody’s Problem,Morgan Wallen,Country,"A 'Bama red 4Runner pulled into the party With a 30-A sticker on the back windshield Two-tone tank top slippin' off her shoulder Kinda girl when she steps out, the world stands still  Ooh, I know where this is goin' I already know it  She's somebody's problem, somebody's goodbye Somebody's last call number that they can't find Somebody's best day, somebody's worst night Somebody's reason for leavin' on the porch light Thinkin' 'bout them tan lines and I'm thinkin' damn, I'd Love to drown in them heartbreaker blue eyes Shе's somebody's problem and somebody's problеm's About to be mine About to be mine  Kinda girl once you've had her, you can't stand to lose her Kinda girl where your friends tell you don't F it up Kinda girl that goes from tryin' to just to get her number To slidin' through the summer to talkin' 'bout love Ooh, I think I'm likin' where it's goin' I'd like to try me some of  Somebody's problem, somebody's goodbye Somebody's last call number that they can't find Somebody's best day, somebody's worst night Somebody's reason for leavin' on the porch light Thinkin' 'bout them tan lines and I'm thinkin' damn, I'd Love to drown in them heartbreaker blue eyes She's somebody's problem and somebody's problem's About to be mine About to be mine  Oh, hey baby, don't just keep me wishin' Oh, let me get to fixin'  Somebody's problem, somebody's goodbye Somebody's last call number that they can't find Somebody's best day, somebody's worst night Somebody's reason for leavin' on the porch light Thinkin' 'bout them tan lines and I'm thinkin' damn, I'd Love to drown in them heartbreaker blue eyes She's somebody's problem and somebody's problem's About to be mine About to be mine About to be mine About to be mine3EmbedShare URLCopyEmbedCopy"
2,Broadway Girls,Morgan Wallen,Country,"(Lyrics From Snippet) I met her down at Aldean's She said she that saw me walking in about a mile away Bouncers had to take her phone, and that just took her smile away She said I’m too drunk and crazy, she don't like the way I dance I said you don't have to join in She said she’d take a chance  I've been kind of crazy ever since it went down I get kind of lost and baby this what I found Girls like you just want to take me around, around and around  There's two things that you're going to find out They don't love you and they only love you right now If I was smarter I would've stayed my ass at home And leave them Broadway girls alone Broadway girls alone Broadway girls alone2EmbedShare URLCopyEmbedCopy"
3,Still Goin Down,Morgan Wallen,Country,"The way I talk, I guess I got it from my pops Product of some kneelin' down In a town where the doors don't lock And there's a million other people like me From a scene a little more podunk than pop I didn't choose being born in the sticks And I'll be damned if I sound like something I ain't For some folks, a backroad gets old But for me, it just can't  'Cause I'm from a small town, southern drawl crowd We're sippin' clear, drinkin' beer on a Friday night Every country girl got on her cutoffs Shakin' her hips, take a trip, buddy tell me I'm a liar Still circle up big trucks around a fire Still kickin' up some dust behind the tires Call it cliché, but hey, just take it from me It's still goin' down out in the country  Somewhere now, someone's out there Sippin' on some hundred proof Every day, a baby's born with some baby blues A good ol' boy's got on his faded boots Workin' a nine to five I'm just another southern hell raiser Ain't breakin' ground Makin' sound for them drop-it-down tailgaters But y'all, that's all I know to say So if you think I'm full of it, ain't done it, check the resume 'Cause I'm from a small town, southern drawl crowd We're sippin' clear, drinkin' beer on a Friday night Every country girl got on her cutoffs Shakin' her hips, take a trip, buddy tell me I'm a liar Still circle up big trucks around a fire Still kickin' up some dust behind the tires Call it cliché, but hey, just take it from me It's still goin' down out in the country  'Cause I'm from a small town, southern drawl crowd We're sippin' clear, drinkin' beer on a Friday night Every country girl got on her cutoffs Shakin' her hips, take a trip, buddy tell me I'm a liar Still circle up big trucks around a fire Still kickin' up some dust behind the tires Call it cliché, but hey, just take it from me It's still goin' down out in the country5EmbedShare URLCopyEmbedCopy"
4,Up Down,Morgan Wallen,Country,"It's Friday after 5, got here just in time Went ahead and wet a line 'fore I went and lost my mind I ain't been here long, but the bobber's in the pond Going up down, up, down, up, down Tonight, we're gonna raise a whole lot more than cane 'Cause there's money in the bank and tomorrow's Saturday So if they pass that fifth of Jack this way I turn it up, down, up, down, up, down  We just holding it down here in BFE Still rolling around with a burnt CD Free Bird, five minutes deep Head bobbing up, down, up, down, up, down We got what we got, we don't need the rest Can turn this parking lot into a party With an ice chest, dancing, cold beer Man, we live it up, down, up, down We live it up down...here  What you know about it, T-Hubb? What up, baby?  Yeah, the girls, they hit the spot, even hotter when it's hot If you can't buy her a yacht, but still proud of what you got 'Cause when the day's done, red neck is from the sun Going up, down, up, down, up, down We just holding it down here in BFE Still rolling around with a burnt CD Free Bird, five minutes deep Head bobbing up, down, up, down, up, down We got what we got, we don't need the rest Can turn this parking lot into a party With an ice chest, dancing, cold beer Man, we live it up, down, up, down We live it up, down here  Somebody pass that fifth of Camp this way I'll turn it up, down, up, down, up, down  We just holding it down here in BFE Still rolling around with a burnt CD Free Bird, five minutes deep Head bobbing up, down, up, down, up, down We got what we got, we don't need the rest Can turn this parking lot into a party With an ice chest, dancing, cold beer Man, we live it up, down, up, down We live it up, down here4EmbedShare URLCopyEmbedCopy"
5,Whiskey Glasses,Morgan Wallen,Country,"Poor me, pour me another drink 'Cause I don't wanna feel a thing No more, hell nah I just wanna sip 'til the pain wears off Poor me, pour me another round Line 'em up and knock 'em down Two more let's go 'Cause I ain't never hurt like this before  Don't wanna think about her Or wear a ring without her Don't wanna hit the karaoke bar Can't sing without her So make them drinks strong 'Cause brother she's gone And if I'm ever gonna move on  I'ma need some whiskey glasses 'Cause I don't wanna see the truth She's probably making out on the couch right now With someone new Yeah, I'ma need some whiskey glasses If I'm gonna make it through If I'ma be single I'ma need a double shot of that heartbreak proof And see the world through whiskey glasses (Ain't nothing else to do, but sip around the truth) And see the world through whiskey glasses (I need a better view, where I don't drink to you) Last call I swear this will be my last call Now I ain't drunk dialing no more at 3 am Mr. Bartender hittin' me again  Don't wanna think about her Or wear a ring without her Don't wanna hit the karaoke bar Can't sing without her So make them drinks strong 'Cause brother she's gone And if I'm ever gonna move on  I'ma need some whiskey glasses 'Cause I don't wanna see the truth She's probably making out on the couch right now With someone new Yeah, I'ma need some whiskey glasses If I'm gonna make it through If I'ma be single I'ma need a double shot of that heartbreak proof And see the world through whiskey glasses (Ain't nothing else to do, but sip around the truth) Oh, see the world through whiskey glasses (I need a better view, where I don't drink to you) Line 'em up, line 'em up, line 'em up, line 'em up Knock 'em back, knock 'em back, knock 'em back, knock 'em back Fill 'em up, fill 'em up, fill 'em up, fill 'em up 'Cause if she ain't ever coming back Line 'em up, line 'em up, line 'em up, line 'em up Knock 'em back, knock 'em back, knock 'em back, knock 'em back Fill 'em up, fill 'em up, fill 'em up, fill 'em up 'Cause if she ain't ever coming back  I'ma need some whiskey glasses 'Cause I don't wanna see the truth She's probably making out on the couch right now With someone new Yeah, I'ma need some whiskey glasses If I'm gonna make it through If I'ma be single I'ma need a double shot of that heartbreak proof And see the world through whiskey glasses (Ain't nothing else to do, but sip around the truth) Oh, see the world through whiskey glasses (I need a better view, where I don't drink to you) Yeah  (Ain't nothing else to do, but sip around the truth) And see the world through whiskey glasses (I need a better view, where I don't drink to you) Yeah10EmbedShare URLCopyEmbedCopy"
6,Cover Me Up,Morgan Wallen,Country,"A heart on a run keeps a hand on a gun Can't trust anyone I was so sure what I needed was more Tried to shoot out the sun The days when we raged, we flew off the page Such damage was done But I made it through, 'cause somebody knew I was meant for someone  So, girl, leave your boots by the bed, we ain't leavin' this room 'Til someone needs medical help or the magnolias bloom It's cold in this house and I ain't goin' out to chop wood So, cover me up and know you're enough to use me for good  I put your faith to the test when I tore off your dress In Richmond on High I sobered up, I swore off that stuff Forever this time And the old lover's sing, “I thought it'd be me Who helped him get home” But home was a dream, one that I'd never seen 'Til you came along So, girl, hang your dress out to dry, we ain't leavin' this room 'Til Percy Priest breaks open wide and the river runs through And carries this house on its Stones like a piece of driftwood So, cover me up and know you're enough to use me for good   So, girl, leave your boots by the bed, we ain't leavin' this room 'Til someone needs medical help or the magnolias bloom It's cold in this house and I ain't goin' out to chop wood So, cover me up and know you're enough to use me for good  So, cover me up and know you're enough to use me for good9EmbedShare URLCopyEmbedCopy"
7,Wasted on You,Morgan Wallen,Country,"I don't always wake up in the mornin' Pour myself a strong one Aw, but when I get lonely I do Your memory gets burnin' Lean back on the bourbon Sure as hell can't keep leanin' on you  Looks like I'm learnin' the hard way again It's all my fault Yeah, I dropped the ball You're gone and I'm gone three sheets to the wind Thinkin' 'bout all I've wasted on you  All of this time and all of this money All of the these sorries I don't owe you honey All of these miles on this Chevy, and prayers in a pew All them days I spent, wasted on you Wasted on you  Yeah, I swore this one'd be different My heart wouldn't listen to my head and these boots on my feet Looks like I'm learning the hard way again That's why I've been wasted on you All of this time and all of this money All these sorries I don't owe you, honey All of these miles on this Chevy and prayers in a pew All them days I spent, wasted on you Wasted on you  Like this pile of your stuff that's packed up in the back Right down to the flame of this match Wasted on you, wasted on you Wasted on you, wasted on you Wasted on you  All of this time and all of this money All these sorries I don't owe you, honey All of these miles on this Chevy and prayers in a pew All them days I spent, wasted on you Wasted on you  Wasted on you, wasted on you11EmbedShare URLCopyEmbedCopy"
8,The Way I Talk,Morgan Wallen,Country,"It's got a touch of the town where I grew up Something in it them California girls love Some people like to make a little fun of The way I talk It gets slower after three or four cold beers And gets louder when I'm cheerin' on the Volunteers Folks know I'm country, when they hear The way I talk  It sounds a little bit like my daddy It don't cuss around my mama Got some words you've never heard 'Less you come from down yonder The man upstairs gets it So I ain't tryna fix it No, I can't hide it I don't fight it, I just roll with it Oh, kinda slow like the Mississippi roads It's the only way I know Man it ain't my fault I just live the way I talk  Yeah it's, ""Yes sir, no ma'am, y'all come back, now"" Fightin' words if you run my last name down I ain't ashamed, matter of fact I'm damn proud Of the way I talk, y'all It sounds a little bit like my daddy It don't cuss around my mama Got some words you've never heard 'Less you come from down yonder The man upstairs gets it So I ain't tryna fix it No, I can't hide it I don't fight it, I just roll with it Oh, kinda slow like the Mississippi roads It's the only way I know Man it ain't my fault I just live the way I talk  Slow, like a Sunday morning service back home And kinda sweet when I got a girl to love on If you know me, you know  It sounds a little bit like my daddy It don't cuss around my mama Got some words you've never heard 'Less you come from down yonder The man upstairs gets it So I ain't tryna fix it No I can't hide it I don't fight it, I just roll with it Oh, kinda slow like the Mississippi roads It's the only way I know Man it ain't my fault I just live the way I talk The way I talk7EmbedShare URLCopyEmbedCopy"
9,Chasin’ You,Morgan Wallen,Country,"We used to chase that Chattanooga freight Couple of kids in a Chevrolet Catch a little air when we cross the tracks Sipping on something from a paper sack You hang your shirt on that maple limb Slipping through the moon to the river bend Wasn't very long I was jumping in, jumping in I guess I'm still doing now what I was doing then  Chasin' you like a shot of whiskey Burning going down, burning going down Chasin' you like those goodbye tail lights Headed west to anywhere out of this nowhere town Chasin' that freedom, chasing' that feeling that got gone too soon Chasin' that you and me, I only see in my rearview Yeah, I'm laying here tonight holding someone new Still chasin' you, still chasin' you  You always used to talk about LA I heard you got as far as Santa Fe Well you know I tried to track you down I only got as far as Guitar Town Singing about a girl I used to know, used to know Well you should know that I haven't given up I'm just on your radio Chasin' you like a shot of whiskey Burning going down, burning going down Chasin' you like those goodbye tail lights Headed west to anywhere out of this nowhere town Chasin' that freedom, chasin' that feeling that got gone too soon Chasin' that you and me, I only see in my rearview Yeah, I'm laying here tonight holding someone new Still chasin' you, still chasin' you  Chasin' you like a shot of whiskey Burning going down, burning going down Chasin' you like those goodbye tail lights Headed west to anywhere out of this nowhere town Chasin' that freedom, chasin' that feeling that got gone too soon Chasin' that you and me, I only see in my rearview Yeah, I'm laying here tonight holding someone new Still chasin' you, still chasin' you  Still chasin' you, still chasin' you6EmbedShare URLCopyEmbedCopy"
