Artist,Genre,Lyrics
Adele,Pop,"Hello, it's me I was wondering if after all these years you'd like to meet To go over everything They say that time's supposed to heal ya, but I ain't done much healing Hello, can you hear me? I'm in California dreaming about who we used to be When we were younger and free I've forgotten how it felt before the world fell at our feet  There's such a difference between us And a million miles  Hello from the other side I must've called a thousand times To tell you I'm sorry for everything that I've done But when I call, you never seem to be home Hello from the outside At least, I can say that I've tried To tell you I'm sorry for breaking your heart But it don't matter, it clearly doesn't tear you apart anymore  Hello, how are you? It's so typical of me to talk about myself, I'm sorry I hope that you're well Did you ever make it out of that town where nothing ever happened? It's no secret that the both of us Are running out of time  So hello from the other side (Other side) I must've called a thousand times (Thousand times) To tell you I'm sorry for everything that I've done But when I call, you never seem to be home Hello from the outside (Outside) At least, I can say that I've tried (I've tried) To tell you I'm sorry for breaking your heart But it don't matter, it clearly doesn't tear you apart anymore  (Highs, highs, highs, highs, lows, lows, lows, lows) Ooh, anymore (Highs, highs, highs, highs, lows, lows, lows, lows) Ooh, anymore (Highs, highs, highs, highs, lows, lows, lows, lows) Ooh, anymore (Highs, highs, highs, highs, lows, lows, lows, lows) Anymore  Hello from the other side (Other side) I must've called a thousand times (Thousand times) To tell you I'm sorry for everything that I've done But when I call, you never seem to be home Hello from the outside (Outside) At least, I can say that I've tried (I've tried) To tell you I'm sorry for breaking your heart But it don't matter, it clearly doesn't tear you apart anymore 252EmbedShare URLCopyEmbedCopy"
Adele,Pop,"There ain't no gold in this river That I've been washin' my hands in forever I know there is hope in these waters But I can't bring myself to swim When I am drowning in this silence Baby, let me in  Go easy on me, baby I was still a child Didn't get the chance to Feel the world around me I had no time to choose what I chose to do So go easy on me  There ain't no room for things to change When we are both so deeply stuck in our ways You can't deny how hard I have tried I changed who I was to put you both first But now I give up  Go easy on mе, baby I was still a child Didn't get the chance to Feel thе world around me Had no time to choose what I chose to do So go easy on me I had good intentions And the highest hopes But I know right now It probably doesn't even show  Go easy on me, baby I was still a child I didn't get the chance to Feel the world around me I had no time to choose what I chose to do So go easy on me127EmbedShare URLCopyEmbedCopy"
Adele,Pop,"I heard that you're settled down That you found a girl and you're married now I heard that your dreams came true Guess she gave you things I didn't give to you Old friend, why are you so shy? Ain't like you to hold back or hide from the light  I hate to turn up out of the blue, uninvited But I couldn't stay away, I couldn't fight it I had hoped you'd see my face And that you'd be reminded that for me, it isn't over  Never mind, I'll find someone like you I wish nothing but the best for you, too Don't forget me, I beg I remember you said Sometimes it lasts in love, but sometimes it hurts instead Sometimes it lasts in love, but sometimes it hurts instead  You know how the time flies Only yesterday was the time of our lives We were born and raised in a summer haze Bound by the surprise of our glory days I hate to turn up out of the blue, uninvited But I couldn't stay away, I couldn't fight it I had hoped you'd see my face And that you'd be reminded that for me, it isn't over  Never mind, I'll find someone like you I wish nothing but the best for you, too Don't forget me, I beg I remember you said Sometimes it lasts in love, but sometimes it hurts instead  Nothing compares, no worries or cares Regrets and mistakes, they're memories made Who would have known how bittersweet this would taste?  Never mind, I'll find someone like you I wish nothing but the best for you Don't forget me, I beg I remember you said Sometimes it lasts in love, but sometimes it hurts instead  Never mind, I'll find someone like you I wish nothing but the best for you, too Don't forget me, I beg I remember you said Sometimes it lasts in love, but sometimes it hurts instead Sometimes it lasts in love, but sometimes it hurts instead214EmbedShare URLCopyEmbedCopy"
Adele,Pop,"Everybody loves the things you do From the way you talk to the way you move Everybody here is watching you 'Cause you feel like home, you're like a dream come true But if by chance you're here alone Can I have a moment before I go? 'Cause I've been by myself all night long Hoping you're someone I used to know  You look like a movie You sound like a song My God, this reminds me Of when we were young  Let me photograph you in this light In case it is the last time that we might Be exactly like we were before we realised We were sad of getting old, it made us restless It was just like a movie It was just like a song  I was so scared to face my fears Nobody told me that you'd be here And I swear you'd moved overseas That's what you said when you left me You still look like a movie You still sound like a song My God, this reminds me Of when we were young  Let me photograph you in this light In case it is the last time that we might Be exactly like we were before we realised We were sad of getting old, it made us restless It was just like a movie It was just like a song  (When we were young) (When we were young) (When we were young) (When we were young)  It's hard to admit that everything just takes me back To when you were there, to when you were there And a part of me keeps holding on just in case it hasn't gone 'Cause I still care, do you still care? It was just like a movie It was just like a song My God, this reminds me Of when we were young  (When we were young) (When we were young) (When we were young) (When we were young)  Let me photograph you in this light In case it is the last time that we might Be exactly like we were before we realised We were sad of getting old, it made us restless Oh, I'm so mad I'm getting old, it makes me reckless It was just like a movie It was just like a song When we were young89EmbedShare URLCopyEmbedCopy"
Adele,Pop,"There's a fire starting in my heart Reaching a fever pitch and it's bringing me out the dark Finally, I can see you crystal clear Go ahead and sell me out and I'll lay your shit bare See how I'll leave with every piece of you Don't underestimate the things that I will do There's a fire starting in my heart Reaching a fever pitch, and it's bringing me out the dark  The scars of your love remind me of us They keep me thinkin' that we almost had it all The scars of your love, they leave me breathless I can't help feeling  We could've had it all (You're gonna wish you never had met me) Rolling in the deep (Tears are gonna fall, rolling in the deep) You had my heart inside of your hand (You're gonna wish you never had met me) And you played it to the beat (Tears are gonna fall, rolling in the deep)  Baby, I have no story to be told But I've heard one on you, now I'm gonna make your head burn Think of me in the depths of your despair Make a home down there, as mine sure won't be shared (You're gonna wish you never had met me) The scars of your love remind me of us (Tears are gonna fall, rolling in the deep) They keep me thinkin' that we almost had it all (You're gonna wish you never had met me) The scars of your love, they leave me breathless (Tears are gonna fall, rolling in the deep) I can't help feeling  We could've had it all (You're gonna wish you never had met me) Rolling in the deep (Tears are gonna fall, rolling in the deep) You had my heart inside of your hand (You're gonna wish you never had met me) And you played it to the beat (Tears are gonna fall, rolling in the deep) Could've had it all Rolling in the deep You had my heart inside of your hand But you played it with a beating  Throw your soul through every open door (Ooh woah, oh) Count your blessings to find what you look for (Woah) Turn my sorrow into treasured gold (Ooh woah, oh) You'll pay me back in kind and reap just what you sow  (You're gonna wish you never had met me) We could've had it all (Tears are gonna fall, rolling in the deep) We could've had it all, yeah (You're gonna wish you never had met me) It all, it all, it all (Tears are gonna fall, rolling in the deep) We could've had it all (You're gonna wish you never had met me) Rolling in the deep (Tears are gonna fall, rolling in the deep) You had my heart inside of your hand (You're gonna wish you never had met me) And you played it to the beat (Tears are gonna fall, rolling in the deep) Could've had it all (You're gonna wish you never had met me) Rolling in the deep (Tears are gonna fall, rolling in the deep) You had my heart inside of your hand (You're gonna wish you never had met me) But you played it, you played it, you played it You played it to the beat141EmbedShare URLCopyEmbedCopy"
Adele,Pop,"I will leave my heart at the door I won't say a word They've all been said before, you know So why don't we just play pretend Like we're not scared of what is coming next Or scared of having nothing left?  Look, don't get me wrong I know there is no tomorrow All I ask is  If this is my last night with you Hold me like I'm more than just a friend Give me a memory I can use Take me by the hand while we do What lovers do It matters how this ends 'Cause what if I never love again?  I don't need your honesty It's already in your eyes And I'm sure my eyes, they speak for me No one knows me like you do And since you're the only one that mattered Tell me, who do I run to? Look, don't get me wrong I know there is no tomorrow All I ask is  If this is my last night with you Hold me like I'm more than just a friend Give me a memory I can use Take me by the hand while we do What lovers do It matters how this ends 'Cause what if I never love again?  Let this be our lesson in love Let this be the way we remember us I don't want to be cruel or vicious And I ain't asking for forgiveness All I ask is  If this is my last night with you Hold me like I'm more than just a friend Give me a memory I can use Take me by the hand while we do What lovers do It matters how this ends 'Cause what if I never love again?41EmbedShare URLCopyEmbedCopy"
Adele,Pop,"I let it fall, my heart And as it fell, you rose to claim it It was dark, and I was over Until you kissed my lips and you saved me My hands, they were strong But my knees were far too weak To stand in your arms Without falling to your feet  But there's a side to you That I never knew, never knew All the things you'd say They were never true, never true And the games you'd play You would always win, always win  But I set fire to the rain Watched it pour as I touched your face Well, it burned while I cried 'Cause I heard it screamin' out your name Your name When I lay with you I could stay there, close my eyes Feel you here forever You and me together, nothing is better  'Cause there's a side to you That I never knew, never knew All the things you'd say They were never true, never true And the games you'd play You would always win, always win  But I set fire to the rain Watched it pour as I touched your face Well, it burned while I cried 'Cause I heard it screamin' out your name Your name I set fire to the rain And I threw us into the flames When it fell, somethin' died 'Cause I knew that that was the last time The last time Sometimes, I wake up by the door That heart you caught must be waitin' for you Even now, when we're already over I can't help myself from lookin' for you  I set fire to the rain Watched it pour as I touched your face Well, it burned while I cried 'Cause I heard it screamin' out your name Your name I set fire to the rain And I threw us into the flames When it fell, somethin' died 'Cause I knew that that was the last time The last time  Oh Oh, no Let it burn Oh Let it burn Let it burn98EmbedShare URLCopyEmbedCopy"
Adele,Pop,"Just the guitar? Okay, cool  This was all you, none of it me You put your hands on, on my body and told me Mmm, told me you were ready For the big one, for the big jump I'd be your last love, everlasting, you and me Mmm, that was what you told me  I'm giving you up I've forgiven it all You set me free  Send my love to your new lover Treat her better We've gotta let go of all of our ghosts We both know we ain't kids no more Send my love to your new lover Treat her better We've gotta let go of all of our ghosts We both know we ain't kids no more I was too strong, you were trembling You couldn't handle the hot heat rising (rising) Mmm, baby, I'm still rising I was running, you were walking You couldn't keep up, you were falling down (down) Mmm, there's only one way down  I'm giving you up I've forgiven it all You set me free, oh  Send my love to your new lover Treat her better We've gotta let go of all of our ghosts We both know we ain't kids no more Send my love to your new lover Treat her better We've gotta let go of all of our ghosts We both know we ain't kids no more  If you're ready, if you're ready If you're ready, I am ready If you're ready, if you're ready We both know we ain't kids no more No, we ain't kids no more I'm giving you up I've forgiven it all You set me free  Send my love to your new lover Treat her better We've gotta let go of all of our ghosts We both know we ain't kids no more Send my love to your new lover Treat her better We've gotta let go of all of our ghosts We both know we ain't kids no more  If you're ready, if you're ready (Send my love to your new lover) If you're ready, are you ready? (Treat her better) We've gotta let go of all of our ghosts We both know we ain't kids no more If you're ready, if you're ready (Send my love to your new lover) If you're ready, are you ready? (Treat her better) We've gotta let go of all of our ghosts We both know we ain't kids no more60EmbedShare URLCopyEmbedCopy"
Adele,Pop,"I built a house for a love to grow I was so young that it was hard to know I'm as lost now as I was back then Always make a mess of everything It's about time that I face myself All I do is bleed into someone else Painting walls with all my secret tears Filling rooms with all my hopes and fears  But oh my, oh my I'll never learn if I never leap I'll always yearn if I never speak  To be loved and love at the highest count Means to lose all the things I can't live without Let it be known that I will choose to lose It's a sacrifice, but I can't live a lie Let it be known, let it be known that I tried  I'm so afraid, but I'm open wide I'll be the one to catch myself this time Tryna learn to lean into it all Ain't it funny how the mighty fall? Looking back, I don't regret a thing Yeah, I took some bad turns that I am owning I'll stand still and let the storm pass by Keep my heart safe till the time feels right But oh my, oh my I'll never learn if I never leap I'll always yearn if I never speak  To be loved and love at the highest count Means to lose all the things I can't live without Let it be known that I will choose to lose It's a sacrifice, but I can't live a lie Let it be known  Let it be known that I cried for you Even started lying to you What a thing to do All because I wanted  To be loved and love at the highest count Means to lose all the things I can't live without Let it be known, known, known That I will choose, I will lose It's a sacrifice, but I can't live a lie Let it be known Let it be known that I tried, that I tried Let it be known that I tried18EmbedShare URLCopyEmbedCopy"
Adele,Pop,"If you're not the one for me Then how come I can bring you to your knees? If you're not the one for me Why do I hate the idea of being free? And if I'm not the one for you You've gotta stop holding me the way you do Oh honey, if I’m not the one for you Why have we been through what we have been through?  It's so cold out here in your wilderness I want you to be my keeper But not if you are so reckless  If you're gonna let me down, let me down gently Don't pretend that you don't want me Our love ain't water under the bridge If you're gonna let me down, let me down gently Don't pretend that you don't want me Our love ain't water under the bridge Say that our love ain't water under the bridge  What are you waiting for? You never seem to make it through the door And who are you hiding from? It ain't no life to live like you're on the run Have I ever asked for much? The only thing that I want is your love If you're gonna let me down, let me down gently Don't pretend that you don't want me Our love ain't water under the bridge If you're gonna let me down, let me down gently Don't pretend that you don't want me Our love ain't water under the bridge Say that our love ain't water under the bridge  It's so cold in your wilderness I want you to be my keeper But not if you are so reckless  If you're gonna let me down, let me down gently Don't pretend that you don't want me Our love ain't water under the bridge If you're gonna let me down, let me down gently Don't pretend that you don't want me Our love ain't water under the bridge  Say it ain't so, say it ain't so Say it ain't so, say it ain't so Say that our love ain't water under the bridge (Say it ain't so, say it ain't so) Say it ain't so, say it ain't so Say it ain't so, say it ain't so Say it ain't so, say it ain't so Say that our love ain't water under the bridge (Say it ain't so, say it ain't so) Say it ain't so, say it ain't so Say that our love ain't water under the bridge38EmbedShare URLCopyEmbedCopy"
