Artist,Genre,Lyrics
AC/DC,Rock,"Back in black, I hit the sack I've been too long, I'm glad to be back Yes, I'm let loose from the noose That's kept me hanging about I'm just looking at the sky 'cause it's getting me high Forget the hearse, 'cause I'll never die I got nine lives, cat's eyes Abusing every one of them and running wild  'Cause I'm back, yes I'm back Well, I'm back, yes I'm back Well, I'm back, back Well, I'm back in black Yes, I'm back in black  Back in the back of a Cadillac Number one with a bullet, I'm a power pack Yes, I'm in a bang with a gang They've got to catch me if they want me to hang 'Cause I'm back on the track and I'm beatin' the flack Nobody's gonna get me on another rap So, look at me now, I'm just making my play Don't try to push your luck, just get out of my way 'Cause I'm back, yes I'm back Well, I'm back, yes I'm back Well, I'm back, back Well, I'm back in black Yes, I'm back in black   Well, I'm back, yes I'm back Well, I'm back, yes I'm back Well, I'm back, back Well, I'm back in black Yes, I'm back in black, yow  Ah, yeah Oh, yeah Take my love Yeah, yeah Yeah Ah, hey yeah Ooh, yeah  Well, I'm back (I'm back) Back, well I'm (I'm back) Back (I'm back) Back (I'm back) Back (I'm back) Back, back in black Yes, I'm back in black I've hit the sack 94EmbedShare URLCopyEmbedCopy"
AC/DC,Rock,"Oi! Oi! Oi! Oi! Oi! Oi! Oi! Oi! Oi! Oi! Oi! Oi! Oi! Oi! Oi!  See me ride out of the sunset On your color TV screen Out for all that I can get If you know what I mean Women to the left of me And women to the right  Ain't got no gun Ain't got no knife Don't you start no fight  'Cause I'm T.N.T., I'm dynamite T.N.T., and I'll win the fight T.N.T., I'm a power load T.N.T., watch me explode  I'm dirty, mean, I'm mighty unclean I'm a wanted man Public enemy number one Understand? So lock up your daughter Lock up your wife Lock up your back door Run for your life The man is back in town So don't you mess me 'round  'Cause I'm T.N.T., I'm dynamite T.N.T., and I'll win the fight T.N.T., I'm a power load T.N.T., watch me explode   T.N.T Oi! Oi! Oi! T.N.T Oi! Oi! Oi! T.N.T Oi! Oi! Oi! T.N.T Oi! Oi! Oi! T.N.T Oi! Oi! Oi! I'm dynamite T.N.T Oi! Oi! Oi! And I'll win the fight T.N.T Oi! Oi! Oi! I'm a power load T.N.T., watch me explode!29EmbedShare URLCopyEmbedCopy"
AC/DC,Rock,"Living easy, lovin' free Season ticket on a one way ride Asking nothing, leave me be Taking everythin' in my stride Don't need reason, don't need rhyme Ain't nothing I’d rather do Goin' down, party time My friends are gonna be there too, yeah I'm on the highway to hell On the highway to hell Highway to hell I'm on the highway to hell  No stop signs, speed limit Nobody's gonna slow me down Like a wheel, gonna spin it Nobody's gonna mess me around Hey Satan, payin' my dues Playing in a rocking band Hey mama, look at me I'm on the way to the promised land Woo! I'm on the highway to hell Highway to hell I'm on the highway to hell Highway to hell  Don't stop me Heh, heh!   I'm on the highway to hell On the highway to hell Highway to hell I'm on the highway to hell (Highway to hell) I'm on the highway to hell (Highway to hell) Highway to hell (Highway to hell) Highway to hell (Highway to hell)  And I'm going down All the way I'm on the highway to hell46EmbedShare URLCopyEmbedCopy"
AC/DC,Rock,"Thunder, ah Thunder, ah Thunder, ah Thunder, ah Thunder, ah Thunder, ah Thunder, ah Thunder, ah Thunder, ah Thunder, ah  I was caught In the middle of a railroad track (Thunder) I looked 'round And I knew there was no turning back (Thunder) My mind raced And I thought, what could I do? (Thunder) And I knew There was no help, no help from you (Thunder) Sound of the drums Beating in my heart The thunder of guns Tore me apart You've been - thunderstruck  Went down the highway Broke the limit, we hit the town Went through to Texas Yeah, Texas, and we had some fun We met some girls Some dancers who gave a good time Broke all the rules, played all the fools Yeah-yeah, they, they, they blew our minds  I was shaking at the knees Could I come again please? Yeah, the ladies were too kind  You've been - thunderstruck, thunderstruck Yeah-yeah-yeah, thunderstruck Oh, thunderstruck Yeah  I was shaking at the knees Could I come again please? Yow  Thunderstruck, thunderstruck Yeah-yeah-yeah, thunderstruck Thunderstruck, yeah, yeah, yeah Said  Yeah, it's alright We're doing fine Yeah, it's alright We're doing fine, so fine  Thunderstruck, yeah-yeah-yeah Thunderstruck, thunderstruck, thunderstruck Whoa, baby, baby (Thunderstruck) You've been thunderstruck, thunderstruck Thunderstruck, thunderstruck You've been thunderstruck39EmbedShare URLCopyEmbedCopy"
AC/DC,Rock,"She was a fast machine, she kept her motor clean She was the best damn woman that I ever seen She had the sightless eyes, telling me no lies Knocking me out with those American thighs Taking more than her share, had me fighting for air She told me to come, but I was already there 'Cause the walls start shaking, the Earth was quaking My mind was aching, and we were making it  And you shook me all night long Yeah, you shook me all night long  Working double-time on the seduction line She's one of a kind, she's just a-mine all mine Wanted no applause, just another course Made a meal outta me, and come back for more Had to cool me down to take another round Now, I'm back in the ring to take another swing That the walls were shaking, the Earth was quaking My mind was aching, and we were making it  And you shook me all night long Yeah, you shook me all night long It knocked me out that You shook me all night long It had me shaking And you shook me all night long Yeah, you shook me Well, you took me  You really took me and You shook me all night long Ah, you shook me all night long Yeah, yeah, you shook me all night long You really got me and you, shook me all night long Yeah, you shook me Yeah, you shook me All night long21EmbedShare URLCopyEmbedCopy"
AC/DC,Rock,"If you're having trouble with the high school head He's giving you the blues You wanna graduate, but not in his bed Here's what you gotta do: Pick up the phone, I'm always home Call me anytime  Just ring: 3-6, 2-4, 3-6, hey I lead a life of crime  Dirty deeds (Done dirt cheap) Dirty deeds (Done dirt cheap) Dirty deeds (Done dirt cheep) Dirty deeds and they're done dirt cheap Dirty deeds and they're done dirt cheap  You got problems in your life of love? You got a broken heart? He's double dealin' with your best friend That's when the tear drops start, fella Pick up the phone, I'm here alone Or make a social call Come right in, forget about him We'll have ourselves a ball  Dirty deeds (Done dirt cheap) Dirty deeds (Done dirt cheap) Dirty deeds (Done dirt cheep) Dirty deeds and they're done dirt cheap (Aww) Dirty deeds and they're done dirt cheap   If you got a lady and you want her gone But you ain't got the guts She keeps naggin' at you night and day Enough to drive you nuts Pick up the phone, leave her alone It's time you made a stand  For a fee, I'm happy to be Your back-door man  Dirty deeds (Done dirt cheap) Dirty deeds (Done dirt cheap) Dirty deeds (Done dirt cheep) Dirty deeds and they're done dirt cheap Dirty deeds and they're done dirt cheap Concrete shoes Cyanide TNT (Done dirt cheap) Neck ties Contracts High voltage (Done dirt cheap)  (Dirty deeds) Do anything you want me to (Done dirt cheap) (Dirty deeds) dirty deeds Dirty deeds (Done dirt cheap) Yaaaaaaaaaaarrrrrrrrrggghhhhhh!14EmbedShare URLCopyEmbedCopy"
AC/DC,Rock,"Well I'm rather upper class high society God's gift to ballroom notoriety And I always fill my ballroom The event is never small The social pages say I've got The biggest balls of all  I've got big balls I've got big balls They're such big balls And they're dirty big balls And he's got big balls And she's got big balls (But we've got the biggest balls of them all)  And my balls are always bouncing My ballroom always full And everybody comes and comes again If your name is on the guest list No one can take you higher Everybody says I've got Great balls of fire I've got big balls Oh, I've got big balls 'N' they're such big balls Dirty big balls And he's got big balls And she's got big balls (But we've got the biggest balls of them all) Some balls are held for charity And some for fancy dress But when they're held for pleasure They're the balls that I like best My balls are always bouncing To the left and to the right It's my belief that my big balls Should be held every night  We've got big balls We've got big balls We've got big balls Dirty big balls He's got big balls She's got big balls (But we've got the biggest balls of them all) (We've got big balls We've got big balls)  And I'm just itching to tell you about them Oh we had such wonderful fun Seafood cocktail, crabs, crayfish (But we've got the biggest balls of them all) (Bollocks Knackers) (Bollocks Knackers) (Bollocks Knackers) (Bollocks Knackers)6EmbedShare URLCopyEmbedCopy"
AC/DC,Rock,"I'm a rolling thunder, pouring rain I'm coming on like a hurricane My lightning's flashing across the sky You're only young, but you're gonna die  I won't take no prisoners, won't spare no lives Nobody's putting up a fight I got my bell, I'm gonna take you to hell I'm gonna get you, Satan get you  Hell's bells Yeah, hell's bells You got me ringing Hell's bells My temperature's high Hell's bells  I'll give you black sensations up and down your spine If you're into evil, you're a friend of mine See my white light flashing as I split the night 'Cause if good's on the left, then I'm sticking to the right I won't take no prisoners, won't spare no lives Nobody's putting up a fight I got my bell, I'm gonna take you to hell I'm gonna get you, Satan get you  Hell's bells Oh, hell's bells You got me ringing Hell's bells My temperature's high Hell's bells   Hell's bells, Satan's comin' to you Hell's bells, he's ringing them now Those hell's bells, the temperature's high Hell's bells, across the sky Hell's bells, they're taking you down Hell's bells, they're dragging you under Hell's bells, gonna split the night Hell's bells, there's no way to fight, yeah Hell's bells22EmbedShare URLCopyEmbedCopy"
AC/DC,Rock,"All you women who want a man of the street An' don't know which way you wanna turn Just keep a-coming and put your hand out to me 'Cause I'm the one who's going to make you burn  I'm going to take you down Oh, down, down, down So, don't you fool around I'm gonna pull it, pull it Pull the trigger  Shoot to thrill, play to kill Too many women with too many pills, yeah Shoot to thrill, play to kill I got my gun at the ready, gonna fire at will, yeah  I'm like evil, I get under your skin Just like a bomb that's ready to blow 'Cause I'm illegal I got everything that all you women might need to know  I'm gonna take you down Yeah, down, down, down So, don't you fool around I'm gonna pull it, pull it Pull the trigger Shoot to thrill, play to kill Too many women with too many pills, said Shoot to thrill, play to kill I got my gun at the ready, gonna fire at will 'Cause I shoot to thrill, and I'm ready to kill I can't get enough and I can't get my fill I shoot to thrill, play to kill Yeah  Pull the trigger, pull it Pull it, pull it Pull the trigger   Oh Shoot to thrill, play to kill Too many women with too many pills, I said Shoot to thrill, play to kill I got my gun at the ready, going to fire at will 'Cause I shoot to thrill and I'm ready to kill I can't get enough and I can't get my fill 'Cause I shoot to thrill, play to kill Yeah Shoot you down, yeah I'm gonna get you down on the bottom, girl Shoot you, I'm going to shoot you Ooh, yeah Yeah, yeah I'm going to shoot you down, yeah-yeah I'm going to get you down Down, down, down, down Shoot you, shoot you, shoot you, shoot you down Shoot you, shoot you, shoot you down I'm gonna shoot to thrill Play to kill Shoot to thrill14EmbedShare URLCopyEmbedCopy"
AC/DC,Rock,"I need a pick-me-up, a rollin' thunder truck I need a shot of you That tattooed lady wild like a mountain ride I got a hunger, that’s the lovin' truth  You got a long night comin' And a long night pumpin’ You got the right position The heat of transmission  A shot in the dark Make you feel alright A shot in the dark All through the whole night A shot in the dark Yeah, electric sparks A shot in the dark beats a walk in the park, yeah  Blasting on the radio, breaking on the TV show Send it out on all the wires And if I didn't know any better, your mission is to party 'Til the broad daylight You got a long night comin' And a long night goin' You got the right position The heat of transmission  A shot in the dark Make you feel alright A shot in the dark All through the whole night A shot in the dark Yeah, еlectric spark A shot in the dark beats a walk in thе park, yeah  My mission is to hit ignition  A shot in the dark Make you feel alright A shot in the dark All through the whole night A shot in the dark, Yeah, electric sparks A shot in the dark beats a walk in the park, yeah A shot in the dark Ooh, a shot in the dark A shot in the dark A shot in the dark A shot in the dark Make you feel alright A shot in the dark beats a walk in the park, yeah6EmbedShare URLCopyEmbedCopy"
AC/DC,Rock,"Ridin' down the highway Goin' to a show Stoppin' on the byways Playin' rock 'n' roll  Gettin' robbed, gettin' stoned Gettin' beat up, broken boned Getting had, getting took I tell you folks, it's harder than it looks  It's a long way to the top, if you want to rock 'n' roll It's a long way to the top, if you want to rock 'n' roll If you think it's easy doing one night stands Try playing in a rock-roll band It's a long way to the top, if you want to rock 'n' roll   Hotel, motel Make you want to cry Ladies do the hard sell Know the reason why Gettin' old, gettin' gray Gettin' ripped off, underpaid Gettin' sold, second-hand That's how it goes, playin' in a band  It's a long way to the top, if you want to rock 'n' roll It's a long way to the top, if you want to rock 'n' roll If you wanna be a star of stage and screen Look out, it's rough and mean It's a long way to the top, if you want to rock 'n' roll It's a long way to the top, if you want to rock 'n' roll  Well, it's a long way Oh, it's a long way (You should have told me) It's a long way Such a long way7EmbedShare URLCopyEmbedCopy"
AC/DC,Rock,"Wan' tell you a story 'Bout a woman I know Ah, come to loving She steals the show She ain't exactly pretty Ain't exactly small Forty-two, thirty-nine, fifty-six You could say she's got it all  Never had a woman Never had a woman like you Doin' all the things Doin' all the things you do Ain't no fairy story Ain't no skin and bones But you give it all you got Weighing in at nineteen stone  You're a whole lotta woman A whole lotta woman Whole lotta Rosie Whole lotta Rosie Whole lotta Rosie And you're a whole lotta woman Oh, honey, you can do it Do it to me all night long Only one that turn me Only one that turn me on All through the night time And right around the clock Woo, to my surprise, Rosie never stopped  She was a whole lotta woman Whole lotta woman Whole lotta Rosie Whole lotta Rosie Whole lotta Rosie A whole lotta woman   Oh, you're a whole lotta woman Whole lotta woman Whole lotta Rosie Whole lotta Rosie You're a whole lotta Rosie Whole lotta woman-man-man-man-man Yeah, yeah, yeah Whole lotta Rosie Whole lotta woman Whole lotta woman5EmbedShare URLCopyEmbedCopy"
AC/DC,Rock,"In the beginning Back in nineteen-fifty-five Man didn't know about a rock 'n' roll show An' all that jive The white man had the schmaltz The black man had the blues No one knew what they was gonna do But Tchaikovsky had the news  He said, ""Let there be sound"" There was sound ""Let there be light"" There was light ""Let there be drums"" There was drums ""Let there be guitar"" There was guitar  Oh, let there be rock   And it came to pass That rock 'n' roll was born And all across the land, every rockin' band Was blowing up a storm And the guitar man got famous The businessmen got rich And in every bar, there was a superstar With a seven year itch There were fifteen-million fingers Learning how to play And you could hear the fingers pickin' And this is what they had to say: ""Let there be light Sound Drums Guitar""  Oh, let there be rock   One night, in the club called ""The Shaking Hand"" There was a 42 decibel rockin' band And the music was good, and the music was loud And the singer turned and he said to the crowd:  ""Let there be rock""5EmbedShare URLCopyEmbedCopy"
